image,attack,scheme,message,predicted,bit_accuracy,message_success,psnr_vs_original,mask_pixels,used_fallback
alpaca.jpg,none,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,38.3589,32923,0
alpaca.jpg,none,dwsf_5region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,38.7965,32824,0
alpaca.jpg,remove_center_25,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,40.9361,17138,0
alpaca.jpg,remove_center_25,dwsf_5region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,39.6967,25173,0
alpaca.jpg,remove_center_40,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,44.4175,8106,0
alpaca.jpg,remove_center_40,dwsf_5region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,40.3437,21779,0
alpaca.jpg,black_center_25,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,11.3440,33072,0
alpaca.jpg,black_center_25,dwsf_5region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,11.3424,26164,0
alpaca.jpg,black_center_40,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,9.6619,33330,0
alpaca.jpg,black_center_40,dwsf_5region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,9.6597,29739,0
alpaca.jpg,remove_left_half,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,41.1699,16530,0
alpaca.jpg,remove_left_half,dwsf_5region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,41.6983,16340,0
alpaca.jpg,remove_right_half,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,41.0382,16555,0
alpaca.jpg,remove_right_half,dwsf_5region_spatial,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,41.3303,16490,0
alpaca.jpg,crop_top_left_50,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,8.8391,32822,0
alpaca.jpg,crop_top_left_50,dwsf_5region_spatial,11001101111101111010101100110100,10001101111101111010101100110100,0.968750,0,8.8398,32672,0
alpaca.jpg,crop_bottom_right_50,single_center_50pct,11001101111101111010101100110100,11001101111101111010101100110100,1.000000,1,9.9101,32970,0
