image,attack,scheme,decoder,message,predicted,bit_accuracy,message_success,psnr_vs_original,mask_pixels,component_count,used_fallback
alpaca.jpg,none,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,38.6619,32928,,0
alpaca.jpg,none,dwsf_redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,38.7147,33170,,0
alpaca.jpg,none,dwsf_redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,38.7147,33170,5,0
alpaca.jpg,none,dwsf_redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,38.7147,33170,5,0
alpaca.jpg,jpeg_q95,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,38.5155,32902,,0
alpaca.jpg,jpeg_q95,dwsf_redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,38.5696,33210,,0
alpaca.jpg,jpeg_q95,dwsf_redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,38.5696,33210,5,0
alpaca.jpg,jpeg_q95,dwsf_redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,38.5696,33210,5,0
alpaca.jpg,jpeg_q85,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,38.8761,32886,,0
alpaca.jpg,jpeg_q85,dwsf_redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,38.9253,33213,,0
alpaca.jpg,jpeg_q85,dwsf_redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,38.9253,33213,5,0
alpaca.jpg,jpeg_q85,dwsf_redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,38.9253,33213,5,0
alpaca.jpg,jpeg_q75,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,29.9582,32955,,0
alpaca.jpg,jpeg_q75,dwsf_redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,29.9663,33185,,0
alpaca.jpg,jpeg_q75,dwsf_redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,29.9663,33185,5,0
alpaca.jpg,jpeg_q75,dwsf_redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,29.9663,33185,5,0
alpaca.jpg,jpeg_q65,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,26.8308,32868,,0
alpaca.jpg,jpeg_q65,dwsf_redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,26.8349,33341,,0
alpaca.jpg,jpeg_q65,dwsf_redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,26.8349,33341,5,0
alpaca.jpg,jpeg_q65,dwsf_redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,26.8349,33341,5,0
alpaca.jpg,jpeg_q50,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,26.5304,32807,,0
alpaca.jpg,jpeg_q50,dwsf_redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,26.5340,32943,,0
alpaca.jpg,jpeg_q50,dwsf_redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,26.5340,32943,5,0
alpaca.jpg,jpeg_q50,dwsf_redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,26.5340,32943,5,0
alpaca.jpg,jpeg_q30,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,25.6092,33029,,0
alpaca.jpg,jpeg_q30,dwsf_redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,25.6109,33097,,0
alpaca.jpg,jpeg_q30,dwsf_redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,25.6109,33097,5,0
alpaca.jpg,jpeg_q30,dwsf_redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,25.6109,33097,5,0
alpaca.jpg,resize_0.75,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,27.0983,32950,,0
alpaca.jpg,resize_0.75,dwsf_redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,27.1024,33273,,0
alpaca.jpg,resize_0.75,dwsf_redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,27.1024,33273,5,0
alpaca.jpg,resize_0.75,dwsf_redundant_regions,component_confidence_weighted,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,27.1024,33273,5,0
alpaca.jpg,resize_0.5,baseline_single_region,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,23.7467,32949,,0
alpaca.jpg,resize_0.5,dwsf_redundant_regions,global_mask_average,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,23.7489,33274,,0
alpaca.jpg,resize_0.5,dwsf_redundant_regions,component_majority,00101100010101110000001011110100,00101100010101110000001011110100,1.000000,1,23.7489,33274,5,0
