image,scheme,scaling_w,coding,attack,payload,decoded_payload,payload_accuracy,payload_success,full_message,predicted_full_message,full_bit_accuracy,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
alpaca.jpg,dwsf_5region_spatial,2.5000,uncoded10,none,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,36.8381,36.8381,32888,0
alpaca.jpg,dwsf_5region_spatial,2.5000,uncoded10,crop_bottom_right_50,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,36.8381,9.9096,32936,0
alpaca.jpg,dwsf_5region_spatial,2.5000,uncoded10,crop_center_50,1110111011,1010111011,0.900000,0,11101110110011111010111001111100,10101110110011111010111001111100,0.968750,36.8381,9.5313,31467,0
alpaca.jpg,dwsf_5region_spatial,2.5000,uncoded10,jpeg_q30,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,36.8381,25.5203,32890,0
alpaca.jpg,dwsf_5region_spatial,2.5000,uncoded10,jpeg_q20,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,36.8381,24.6352,32778,0
alpaca.jpg,dwsf_5region_spatial,2.5000,uncoded10,resize_0.25_jpeg_q50,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,36.8381,19.6560,32857,0
ducks.jpg,dwsf_5region_spatial,2.5000,uncoded10,none,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,42.0424,42.0424,32798,0
ducks.jpg,dwsf_5region_spatial,2.5000,uncoded10,crop_bottom_right_50,1110111011,1010111011,0.900000,0,11101110110011111010111001111100,10101110110011111010111001111100,0.968750,42.0424,11.3050,32945,0
ducks.jpg,dwsf_5region_spatial,2.5000,uncoded10,crop_center_50,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,42.0424,10.8262,30907,0
ducks.jpg,dwsf_5region_spatial,2.5000,uncoded10,jpeg_q30,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,42.0424,32.4752,32552,0
ducks.jpg,dwsf_5region_spatial,2.5000,uncoded10,jpeg_q20,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,42.0424,31.2063,31530,0
ducks.jpg,dwsf_5region_spatial,2.5000,uncoded10,resize_0.25_jpeg_q50,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,42.0424,28.7911,32809,0
gauguin_256.jpg,dwsf_5region_spatial,2.5000,uncoded10,none,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,40.5998,40.5998,32965,0
gauguin_256.jpg,dwsf_5region_spatial,2.5000,uncoded10,crop_bottom_right_50,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011110010111001111100,0.968750,40.5998,11.6822,32788,0
gauguin_256.jpg,dwsf_5region_spatial,2.5000,uncoded10,crop_center_50,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011110010111001111100,0.968750,40.5998,13.0465,28434,0
gauguin_256.jpg,dwsf_5region_spatial,2.5000,uncoded10,jpeg_q30,1110111011,1010010011,0.700000,0,11101110110011111010111001111100,10100100110000011010101001010100,0.718750,40.5998,29.9481,13717,0
gauguin_256.jpg,dwsf_5region_spatial,2.5000,uncoded10,jpeg_q20,1110111011,1000000010,0.400000,0,11101110110011111010111001111100,10000000100000000010000001001000,0.468750,40.5998,28.5990,12311,0
gauguin_256.jpg,dwsf_5region_spatial,2.5000,uncoded10,resize_0.25_jpeg_q50,1110111011,1010011011,0.800000,0,11101110110011111010111001111100,10100110110100101010010001011000,0.687500,40.5998,27.9205,32974,0
seabackground.jpg,dwsf_5region_spatial,2.5000,uncoded10,none,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,39.0833,39.0833,32939,0
seabackground.jpg,dwsf_5region_spatial,2.5000,uncoded10,crop_bottom_right_50,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001101100,0.968750,39.0833,12.3098,32773,0
seabackground.jpg,dwsf_5region_spatial,2.5000,uncoded10,crop_center_50,1110111011,1010111011,0.900000,0,11101110110011111010111001111100,10101110110011111010111001111100,0.968750,39.0833,14.4029,30828,0
seabackground.jpg,dwsf_5region_spatial,2.5000,uncoded10,jpeg_q30,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,39.0833,25.1951,20135,0
seabackground.jpg,dwsf_5region_spatial,2.5000,uncoded10,jpeg_q20,1110111011,1110010011,0.800000,0,11101110110011111010111001111100,11100100110001110010010001011100,0.781250,39.0833,23.7942,7819,0
seabackground.jpg,dwsf_5region_spatial,2.5000,uncoded10,resize_0.25_jpeg_q50,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,39.0833,20.6587,27011,0
trex_bike.jpg,dwsf_5region_spatial,2.5000,uncoded10,none,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,39.9834,39.9834,32413,0
trex_bike.jpg,dwsf_5region_spatial,2.5000,uncoded10,crop_bottom_right_50,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,39.9834,10.1569,32640,0
trex_bike.jpg,dwsf_5region_spatial,2.5000,uncoded10,crop_center_50,1110111011,1010111011,0.900000,0,11101110110011111010111001111100,10101110110011111010111001111100,0.968750,39.9834,11.1360,31799,0
trex_bike.jpg,dwsf_5region_spatial,2.5000,uncoded10,jpeg_q30,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,39.9834,29.7373,27390,0
trex_bike.jpg,dwsf_5region_spatial,2.5000,uncoded10,jpeg_q20,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,39.9834,28.4988,23314,0
trex_bike.jpg,dwsf_5region_spatial,2.5000,uncoded10,resize_0.25_jpeg_q50,1110111011,1110111011,1.000000,1,11101110110011111010111001111100,11101110110011111010111001111100,1.000000,39.9834,24.5089,28627,0
alpaca.jpg,dwsf_5region_spatial,2.5000,rep3_10,none,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,36.8649,36.8649,32731,0
alpaca.jpg,dwsf_5region_spatial,2.5000,rep3_10,crop_bottom_right_50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,36.8649,9.9124,32260,0
alpaca.jpg,dwsf_5region_spatial,2.5000,rep3_10,crop_center_50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,36.8649,9.5320,31153,0
alpaca.jpg,dwsf_5region_spatial,2.5000,rep3_10,jpeg_q30,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,36.8649,25.5229,32739,0
alpaca.jpg,dwsf_5region_spatial,2.5000,rep3_10,jpeg_q20,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,36.8649,24.6365,32760,0
alpaca.jpg,dwsf_5region_spatial,2.5000,rep3_10,resize_0.25_jpeg_q50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,36.8649,19.6562,32796,0
ducks.jpg,dwsf_5region_spatial,2.5000,rep3_10,none,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,42.0621,42.0621,32511,0
ducks.jpg,dwsf_5region_spatial,2.5000,rep3_10,crop_bottom_right_50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,42.0621,11.3043,32805,0
ducks.jpg,dwsf_5region_spatial,2.5000,rep3_10,crop_center_50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,42.0621,10.8256,30457,0
ducks.jpg,dwsf_5region_spatial,2.5000,rep3_10,jpeg_q30,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,42.0621,32.4791,32240,0
ducks.jpg,dwsf_5region_spatial,2.5000,rep3_10,jpeg_q20,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,42.0621,31.1966,30589,0
ducks.jpg,dwsf_5region_spatial,2.5000,rep3_10,resize_0.25_jpeg_q50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,42.0621,28.7963,32696,0
gauguin_256.jpg,dwsf_5region_spatial,2.5000,rep3_10,none,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,40.6095,40.6095,32524,0
gauguin_256.jpg,dwsf_5region_spatial,2.5000,rep3_10,crop_bottom_right_50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11101111100011011111100011010100,0.875000,40.6095,11.6850,32417,0
gauguin_256.jpg,dwsf_5region_spatial,2.5000,rep3_10,crop_center_50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111000011110100,0.937500,40.6095,13.0434,28319,0
gauguin_256.jpg,dwsf_5region_spatial,2.5000,rep3_10,jpeg_q30,1110111011,0010111011,0.800000,0,11111111100011111111100011111100,10000010100010111111100011010100,0.718750,40.6095,29.9415,21879,0
gauguin_256.jpg,dwsf_5region_spatial,2.5000,rep3_10,jpeg_q20,1110111011,0000001000,0.300000,0,11111111100011111111100011111100,10000100100000100011000000000100,0.468750,40.6095,28.5944,33076,0
gauguin_256.jpg,dwsf_5region_spatial,2.5000,rep3_10,resize_0.25_jpeg_q50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11011111100001111111100011011100,0.906250,40.6095,27.9265,30787,0
seabackground.jpg,dwsf_5region_spatial,2.5000,rep3_10,none,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,39.0930,39.0930,32598,0
seabackground.jpg,dwsf_5region_spatial,2.5000,rep3_10,crop_bottom_right_50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,10111111100011111111100001111100,0.937500,39.0930,12.3104,32686,0
seabackground.jpg,dwsf_5region_spatial,2.5000,rep3_10,crop_center_50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,39.0930,14.4053,30331,0
seabackground.jpg,dwsf_5region_spatial,2.5000,rep3_10,jpeg_q30,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011011100,0.968750,39.0930,25.1993,19049,0
seabackground.jpg,dwsf_5region_spatial,2.5000,rep3_10,jpeg_q20,1110111011,1100111001,0.800000,0,11111111100011111111100011111100,10101100100011111011110010010100,0.718750,39.0930,23.8020,3834,0
seabackground.jpg,dwsf_5region_spatial,2.5000,rep3_10,resize_0.25_jpeg_q50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,39.0930,20.6614,26761,0
trex_bike.jpg,dwsf_5region_spatial,2.5000,rep3_10,none,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,40.0426,40.0426,32245,0
trex_bike.jpg,dwsf_5region_spatial,2.5000,rep3_10,crop_bottom_right_50,1110111011,1110111011,1.000000,1,11111111100011111111100011111100,11111111100011111111100011111100,1.000000,40.0426,10.1593,32831,0
