image,scheme,selector,region_index,left,top,width,height
alpaca.jpg,fixed_q30_5block,fixed_anchor,0,0.000000,0.000000,0.244949,0.244949
alpaca.jpg,fixed_q30_5block,fixed_anchor,1,0.755051,0.000000,0.244949,0.244949
alpaca.jpg,fixed_q30_5block,fixed_anchor,2,0.000000,0.755051,0.244949,0.244949
alpaca.jpg,fixed_q30_5block,fixed_anchor,3,0.755051,0.755051,0.244949,0.244949
alpaca.jpg,fixed_q30_5block,fixed_anchor,4,0.377526,0.377526,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_random,random,0,0.604041,0.226515,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_random,random,1,0.000000,0.302020,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_random,random,2,0.000000,0.679546,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_random,random,3,0.679546,0.755051,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_random,random,4,0.302020,0.151010,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_texture_top,texture_top,0,0.075505,0.528536,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_texture_top,texture_top,1,0.755051,0.377526,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_texture_top,texture_top,2,0.453031,0.528536,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_texture_top,texture_top,3,0.075505,0.226515,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_texture_top,texture_top,4,0.755051,0.679546,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_low_residual,low_residual,0,0.528536,0.000000,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_low_residual,low_residual,1,0.151010,0.000000,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_low_residual,low_residual,2,0.377526,0.377526,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_low_residual,low_residual,3,0.679546,0.679546,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_low_residual,low_residual,4,0.377526,0.755051,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,0,0.075505,0.226515,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,1,0.755051,0.604041,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,2,0.453031,0.302020,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,3,0.075505,0.528536,0.244949,0.244949
alpaca.jpg,adaptive_q30_5block_hybrid_texture_residual,hybrid_texture_residual,4,0.755051,0.302020,0.244949,0.244949
ducks.jpg,fixed_q30_5block,fixed_anchor,0,0.000000,0.000000,0.244949,0.244949
ducks.jpg,fixed_q30_5block,fixed_anchor,1,0.755051,0.000000,0.244949,0.244949
ducks.jpg,fixed_q30_5block,fixed_anchor,2,0.000000,0.755051,0.244949,0.244949
ducks.jpg,fixed_q30_5block,fixed_anchor,3,0.755051,0.755051,0.244949,0.244949
ducks.jpg,fixed_q30_5block,fixed_anchor,4,0.377526,0.377526,0.244949,0.244949
ducks.jpg,adaptive_q30_5block_random,random,0,0.528536,0.528536,0.244949,0.244949
ducks.jpg,adaptive_q30_5block_random,random,1,0.604041,0.226515,0.244949,0.244949
ducks.jpg,adaptive_q30_5block_random,random,2,0.075505,0.151010,0.244949,0.244949
ducks.jpg,adaptive_q30_5block_random,random,3,0.000000,0.755051,0.244949,0.244949
ducks.jpg,adaptive_q30_5block_random,random,4,0.151010,0.453031,0.244949,0.244949
ducks.jpg,adaptive_q30_5block_texture_top,texture_top,0,0.679546,0.302020,0.244949,0.244949
ducks.jpg,adaptive_q30_5block_texture_top,texture_top,1,0.377526,0.453031,0.244949,0.244949
ducks.jpg,adaptive_q30_5block_texture_top,texture_top,2,0.000000,0.302020,0.244949,0.244949
ducks.jpg,adaptive_q30_5block_texture_top,texture_top,3,0.075505,0.604041,0.244949,0.244949
ducks.jpg,adaptive_q30_5block_texture_top,texture_top,4,0.302020,0.151010,0.244949,0.244949
