image,scheme,area_percent,block_count,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000289594.png,single_center_50pct,50,1,2.5000,none,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,10.5019,10.5019,34613,0
000000289594.png,single_center_50pct,50,1,2.5000,remove_center_40,01001010111000010011001110000100,01001010011000010011001110000100,0.968750,0,10.5019,17.2721,9017,0
000000289594.png,single_center_50pct,50,1,2.5000,black_center_40,01001010111000010011001110000100,01001010011000010011001110000100,0.968750,0,10.5019,10.6492,34754,0
000000289594.png,single_center_50pct,50,1,2.5000,crop_top_left_50,01001010111000010011001110000100,00000100000000000000000000000000,0.562500,0,10.5019,7.2843,31121,0
000000289594.png,single_center_50pct,50,1,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,10.5019,8.4168,29312,0
000000289594.png,single_center_50pct,50,1,2.5000,crop_center_50,01001010111000010011001110000100,00000100010000000000000010000000,0.625000,0,10.5019,7.0224,65497,0
000000289594.png,single_center_50pct,50,1,2.5000,jpeg_q30,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,10.5019,13.1330,35410,0
000000289594.png,single_center_50pct,50,1,2.5000,jpeg_q20,01001010111000010011001110000100,01001010111000010011001110000100,1.000000,1,10.5019,13.3616,36427,0
000000289594.png,single_center_50pct,50,1,2.5000,resize_0.25_jpeg_q50,01001010111000010011001110000100,01101000110000010011000010000100,0.843750,0,10.5019,14.3315,36238,0
000000289594.png,distributed_q10_5block,10,5,2.5000,none,01001010111000010011001110000100,00001010010000000011001100000000,0.812500,0,17.5395,17.5395,6988,0
000000289594.png,distributed_q10_5block,10,5,2.5000,remove_center_40,01001010111000010011001110000100,00001010110000000011001110000000,0.875000,0,17.5395,18.4936,5669,0
000000289594.png,distributed_q10_5block,10,5,2.5000,black_center_40,01001010111000010011001110000100,00001010110000000011001110000100,0.906250,0,17.5395,10.8873,5576,0
000000289594.png,distributed_q10_5block,10,5,2.5000,crop_top_left_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,17.5395,8.1692,292,0
000000289594.png,distributed_q10_5block,10,5,2.5000,crop_bottom_right_50,01001010111000010011001110000100,00000000000000000000000000000000,0.593750,0,17.5395,9.0333,3451,0
