image,scheme,scaling_w,attack,method,selected_candidate,message,predicted,bit_accuracy,message_success,confidence,mask_pixels
alpaca.jpg,single_center_50pct,2.5000,crop_top_left_50,global_decode,global,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.989266,32830
alpaca.jpg,single_center_50pct,2.5000,crop_top_left_50,bbox_confidence_select,bbox_0,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.994012,41580
alpaca.jpg,single_center_50pct,2.5000,crop_top_left_50,bbox_similarity_select,bbox_0,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.994012,41580
alpaca.jpg,single_center_50pct,2.5000,crop_top_left_50,oracle_best_candidate,bbox_0,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.994012,41580
alpaca.jpg,single_center_50pct,2.5000,crop_bottom_right_50,global_decode,global,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.992873,32972
alpaca.jpg,single_center_50pct,2.5000,crop_bottom_right_50,bbox_confidence_select,bbox_0,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.994763,41301
alpaca.jpg,single_center_50pct,2.5000,crop_bottom_right_50,bbox_similarity_select,bbox_0,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.994763,41301
alpaca.jpg,single_center_50pct,2.5000,crop_bottom_right_50,oracle_best_candidate,bbox_0,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.994763,41301
alpaca.jpg,single_center_50pct,2.5000,crop_center_50,global_decode,global,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.992403,65536
alpaca.jpg,single_center_50pct,2.5000,crop_center_50,bbox_confidence_select,bbox_0,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.992429,65536
alpaca.jpg,single_center_50pct,2.5000,crop_center_50,bbox_similarity_select,bbox_0,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.992429,65536
alpaca.jpg,single_center_50pct,2.5000,crop_center_50,oracle_best_candidate,bbox_0,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.992429,65536
alpaca.jpg,single_center_50pct,2.5000,jpeg_q20,global_decode,global,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,1,0.994911,32812
