image,scheme,scaling_w,attack,candidate,box,message,predicted,bit_accuracy,confidence,mask_pixels,used_fallback
alpaca.jpg,single_center_50pct,2.5000,crop_top_left_50,global,full,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.989266,32830,0
alpaca.jpg,single_center_50pct,2.5000,crop_top_left_50,bbox_0,"186,293,1746,2519,0.5,32830",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.994012,41580,0
alpaca.jpg,single_center_50pct,2.5000,crop_top_left_50,bbox_1,"186,293,1746,2519,0.5,32830",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.994012,41580,0
alpaca.jpg,single_center_50pct,2.5000,crop_bottom_right_50,global,full,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.992873,32972,0
alpaca.jpg,single_center_50pct,2.5000,crop_bottom_right_50,bbox_0,"0,0,1560,2239,0.5,32972",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.994763,41301,0
alpaca.jpg,single_center_50pct,2.5000,crop_bottom_right_50,bbox_1,"0,0,1560,2239,0.5,32972",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.994763,41301,0
alpaca.jpg,single_center_50pct,2.5000,crop_center_50,global,full,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.992403,65536,0
alpaca.jpg,single_center_50pct,2.5000,crop_center_50,bbox_0,"0,0,1746,2519,0.5,65536",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.992429,65536,0
alpaca.jpg,single_center_50pct,2.5000,crop_center_50,bbox_1,"0,0,1746,2519,0.5,65536",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.992429,65536,0
alpaca.jpg,single_center_50pct,2.5000,jpeg_q20,global,full,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.994911,32812,0
alpaca.jpg,single_center_50pct,2.5000,jpeg_q20,bbox_0,"0,0,1746,2519,0.5,32812",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.994917,32812,0
alpaca.jpg,single_center_50pct,2.5000,jpeg_q20,bbox_1,"0,0,1746,2519,0.5,32812",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.994917,32812,0
alpaca.jpg,single_center_50pct,2.5000,resize_0.25_jpeg_q50,global,full,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.995038,32832,0
alpaca.jpg,single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_0,"0,0,1746,2519,0.5,32832",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.995042,32834,0
alpaca.jpg,single_center_50pct,2.5000,resize_0.25_jpeg_q50,bbox_1,"0,0,1746,2519,0.5,32832",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.995042,32834,0
alpaca.jpg,dwsf_5region_spatial,2.5000,crop_top_left_50,global,full,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.982595,32816,0
alpaca.jpg,dwsf_5region_spatial,2.5000,crop_top_left_50,bbox_0,"0,0,1746,2519,0.5,32816",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.982648,32811,0
alpaca.jpg,dwsf_5region_spatial,2.5000,crop_top_left_50,bbox_1,"0,0,1390,2017,0.5,26377",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.969067,42656,0
alpaca.jpg,dwsf_5region_spatial,2.5000,crop_top_left_50,bbox_2,"1055,1523,1746,2519,0.5,6439",11110110010100000011110000110001,00000000000000000010000000000000,0.562500,0.005082,163,0
alpaca.jpg,dwsf_5region_spatial,2.5000,crop_bottom_right_50,global,full,11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.960683,31157,0
alpaca.jpg,dwsf_5region_spatial,2.5000,crop_bottom_right_50,bbox_0,"0,0,1746,2519,0.5,31157",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.960829,31050,0
alpaca.jpg,dwsf_5region_spatial,2.5000,crop_bottom_right_50,bbox_1,"365,526,1746,2519,0.5,24530",11110110010100000011110000110001,11110110010100000011110000110001,1.000000,0.941671,37512,0
